Parcel_ID|Municipality|Property_Address|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2012_Mkt|Land_Value_2012_Cty|Building_Value_2012_Mkt|Building_Value_2012_Cty|Total_Value_2012_Mkt|Total_Value_2012_Cty
0063-J-00156-0000-00|926 MT. LEBANON|1759 THEODAN DR|Mt Lebanon|92612|Taxable|9/5/2006|Regular|1|Residential|12981|SINGLE FAMILY|28|No|No|No|9,000 SQFT|42700|42700|123900|123900|166600|166600
0063-J-00158-0000-00|926 MT. LEBANON|1755 THEODAN DR|Mt Lebanon|92612|Taxable|8/10/1999|Regular|145000|Residential|10551|SINGLE FAMILY|133|Yes|No|No|8,560 SQFT|42100|42100|115400|100400|157500|142500
0063-J-00162-0000-00|926 MT. LEBANON|1751 THEODAN DR|Mt Lebanon|92612|Taxable|9/27/1994|Regular|155000|Residential|9311|SINGLE FAMILY|562|No|No|No|7,662 SQFT|38600|38600|105300|105300|143900|143900
0063-J-00164-0000-00|926 MT. LEBANON|1747 THEODAN DR|Mt Lebanon|92612|Taxable|11/7/1986|Regular|81000|Residential|7426|SINGLE FAMILY|263|Yes|No|No|8,250 SQFT|37800|37800|127400|112400|165200|150200
0063-J-00166-0000-00|926 MT. LEBANON|1743 THEODAN DR|Mt Lebanon|92612|Taxable|4/18/1995|Regular|138560|Residential|9438|SINGLE FAMILY|510|Yes|No|No|8,621 SQFT|38900|38900|132000|117000|170900|155900
0063-J-00170-0000-00|926 MT. LEBANON|1739 THEODAN DR|Mt Lebanon|92612|Taxable|12/9/2003|Regular|176000|Residential|11883|SINGLE FAMILY|417|Yes|No|No|10,097 SQFT|44100|44100|117900|102900|162000|147000
0063-J-00172-0000-00|926 MT. LEBANON|1735 THEODAN DR|Mt Lebanon|92612|Taxable|7/3/2001|Regular|115000|Residential|11088|SINGLE FAMILY|254|Yes|No|No|8,591 SQFT|42200|42200|94500|79500|136700|121700
0063-J-00174-0000-00|926 MT. LEBANON|1731 THEODAN DR|Mt Lebanon|92612|Taxable|7/5/2002|Regular|122000|Residential|11393|SINGLE FAMILY|472|Yes|No|No|8,153 SQFT|41600|41600|91400|76400|133000|118000
0063-J-00176-0000-00|926 MT. LEBANON|1727 THEODAN DR|Mt Lebanon|92612|Taxable|5/18/2011|Regular|129750|Residential|14580|SINGLE FAMILY|124|No|No|No|8,018 SQFT|25000|25000|85000|85000|110000|110000
0063-J-00178-0000-00|926 MT. LEBANON|1719 THEODAN DR|Mt Lebanon|92612|Taxable|7/30/2009|Regular|1|Residential|13997|SINGLE FAMILY|286|Yes|No|No|5,747 SQFT|40100|40100|99900|84900|140000|125000
0063-J-00182-0000-00|926 MT. LEBANON|1744 HELEN DR|Mt Lebanon|92612|Taxable|7/26/1994|Regular|110000|Residential|9268|SINGLE FAMILY|636|Yes|No|No|8,800 SQFT|31900|31900|118100|103100|150000|135000
0063-J-00184-0000-00|926 MT. LEBANON|1718 HOLLY LN|Mt Lebanon|92612|Taxable|5/8/1969|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|8,936 SQFT|50100|50100|131700|116700|181800|166800
0063-J-00188-0000-00|926 MT. LEBANON|1722 HOLLY LN|Mt Lebanon|92612|Taxable|11/25/1980|Regular|95000|Residential|6322|SINGLE FAMILY|876|Yes|No|No|8,763 SQFT|49900|49900|125900|110900|175800|160800
0063-J-00190-0000-00|926 MT. LEBANON|1728 HOLLY LN|Mt Lebanon|92612|Taxable|11/8/2007|Regular|1|Residential|13432|SINGLE FAMILY|236|Yes|No|No|9,020 SQFT|50300|50300|178800|163800|229100|214100
0063-J-00192-0000-00|926 MT. LEBANON|1734 HOLLY LN|Mt Lebanon|92612|Taxable|6/22/1988|Regular|175000|Residential|7809|SINGLE FAMILY|565|Yes|No|No|11,152 SQFT|53600|53600|159700|144700|213300|198300
0063-J-00198-0000-00|926 MT. LEBANON|1738 HOLLY LN|Mt Lebanon|92612|Taxable|5/21/2010|Regular|223000|Residential|14266|SINGLE FAMILY|236|Yes|No|No|15,208 SQFT|59800|59800|140500|125500|200300|185300
0063-J-00200-0000-00|926 MT. LEBANON|1737 HOLLY LN|Mt Lebanon|92612|Taxable|1/28/1986|Regular|108000|Residential|7237|SINGLE FAMILY|179|Yes|No|No|9,636 SQFT|43500|43500|133500|118500|177000|162000
0063-J-00204-0000-00|926 MT. LEBANON|1733 HOLLY LN|Mt Lebanon|92612|Taxable|7/19/1991|Regular|184500|Residential|8526|SINGLE FAMILY|140|Yes|No|No|8,363 SQFT|49200|49200|142000|127000|191200|176200
0063-J-00206-0000-00|926 MT. LEBANON|1727 HOLLY LN|Mt Lebanon|92612|Taxable|11/13/2000|Regular|185000|Residential|10911|SINGLE FAMILY|309|Yes|No|No|7,393 SQFT|48100|48100|126100|111100|174200|159200
0063-J-00208-0000-00|926 MT. LEBANON|1723 HOLLY LN|Mt Lebanon|92612|Taxable|8/31/2001|Regular|178000|Residential|11140|SINGLE FAMILY|84|Yes|No|No|7,604 SQFT|41000|41000|124300|109300|165300|150300
0063-J-00212-0000-00|926 MT. LEBANON|1719 HOLLY LN|Mt Lebanon|92612|Taxable|6/9/2005|Regular|157300|Residential|12475|SINGLE FAMILY|320|Yes|No|No|5,894 SQFT|47200|47200|118300|103300|165500|150500
0063-J-00214-0000-00|926 MT. LEBANON|1762 HELEN DR|Mt Lebanon|92612|Taxable|4/9/2007|Regular|194000|Residential|13197|SINGLE FAMILY|294|Yes|No|No|8,250 SQFT|49100|49100|135700|120700|184800|169800
0063-J-00216-0000-00|926 MT. LEBANON|1787 THEODAN DR|Mt Lebanon|92612|Taxable|2/12/1998|Regular|155000|Residential|10132|SINGLE FAMILY|453|Yes|No|No|8,154 SQFT|41300|41300|138400|123400|179700|164700
0063-J-00220-0000-00|926 MT. LEBANON|255 TWIN HILLS DR|Mt Lebanon|92612|Taxable|4/7/2006|Regular|325000|Residential|12805|SINGLE FAMILY|240|Yes|No|No|10,400 SQFT|52400|52400|211400|196400|263800|248800
0063-J-00222-0000-00|926 MT. LEBANON|1774 HELEN DR|Mt Lebanon|92612|Taxable|11/6/1995|Regular|1|Residential|9576|SINGLE FAMILY|509|Yes|No|No|9,843 SQFT|51500|51500|191700|176700|243200|228200
0063-N-00175-0000-00|926 MT. LEBANON|1701 MCFARLAND RD|Mt Lebanon|926C4|Exempt|10/25/2007|Corporation|600000|Other|13418|OFFICE - 1-2 STORIES|325|No|No|No|1.0426 Acres|254200|254200|455800|455800|710000|710000
0063-N-00179-0000-00|926 MT. LEBANON|1729 HELEN DR|Mt Lebanon|92612|Taxable|11/13/2002|Regular|130900|Residential|11503|TWO FAMILY|376|Yes|No|No|8,834 SQFT|50000|50000|121900|106900|171900|156900
0063-N-00180-0000-00|926 MT. LEBANON|1725 -1727 HELEN DR|Mt Lebanon|92612|Taxable|6/5/2009|Regular|167500|Residential|13946|TWO FAMILY|502|No|No|No|9,763 SQFT|51400|51400|92200|92200|143600|143600
0063-N-00192-0000-00|926 MT. LEBANON|1689 MCFARLAND RD|Mt Lebanon|926C5|Taxable|5/23/2007|Corporation|1|Commercial|13244|NEIGH SHOP CENTER|389|No|No|No|1.8494 Acres|203800|203800|688400|688400|892200|892200
0063-N-00196-0000-00|926 MT. LEBANON|1685 MCFARLAND RD|Mt Lebanon|926C4|Taxable|1/8/1986|Regular|204000|Commercial|7228|SMALL DETACHED RET(UNDER 10000|383|No|No|No|18,415 SQFT|180700|180700|149900|149900|330600|330600
